GEOID,STATEFP,STATE,COUNTYFP,COUNTY,POP_25OV22,N_HSDIP22,HS_DIP22,SOM_COLL22,ASSO_DEG22,BACH_DEG22,MAST_DEG22,PROF_DEG22,DOCT_DEG22
26163502700,26, Michigan,163, Wayne County,1586,321,723,342,102,70,16,0,12
26163503100,26, Michigan,163, Wayne County,2120,340,738,491,326,64,159,0,2
26163503200,26, Michigan,163, Wayne County,1529,208,712,468,100,10,31,0,0
26163503300,26, Michigan,163, Wayne County,2165,330,899,622,252,30,21,11,0
26163503400,26, Michigan,163, Wayne County,521,94,227,116,43,30,5,6,0
26163503500,26, Michigan,163, Wayne County,1047,182,394,378,64,29,0,0,0
26163503600,26, Michigan,163, Wayne County,974,83,512,223,103,32,12,9,0
26163503900,26, Michigan,163, Wayne County,1270,238,460,394,122,47,9,0,0
26163504000,26, Michigan,163, Wayne County,759,73,325,336,14,0,11,0,0
26163504100,26, Michigan,163, Wayne County,979,240,471,124,47,43,54,0,0
26163504200,26, Michigan,163, Wayne County,1108,335,377,193,79,77,47,0,0
26163504300,26, Michigan,163, Wayne County,1374,242,655,382,20,67,8,0,0
26163504400,26, Michigan,163, Wayne County,956,373,327,171,44,28,9,4,0
26163505100,26, Michigan,163, Wayne County,2343,473,960,637,75,135,42,21,0
26163505200,26, Michigan,163, Wayne County,2198,249,800,752,219,125,53,0,0
26163505400,26, Michigan,163, Wayne County,1293,235,684,200,101,39,34,0,0
26163505600,26, Michigan,163, Wayne County,2480,404,840,722,269,176,69,0,0
26163505700,26, Michigan,163, Wayne County,1933,402,948,388,53,77,60,5,0
26163505800,26, Michigan,163, Wayne County,2075,712,795,333,123,75,37,0,0
26163506100,26, Michigan,163, Wayne County,1153,143,481,265,155,61,16,0,32
26163506200,26, Michigan,163, Wayne County,1372,153,809,267,47,62,14,13,7
26163506300,26, Michigan,163, Wayne County,1100,238,461,223,61,104,13,0,0
26163506400,26, Michigan,163, Wayne County,1190,277,526,312,20,54,0,0,1
26163506500,26, Michigan,163, Wayne County,1304,280,593,262,65,86,18,0,0
26163506600,26, Michigan,163, Wayne County,2005,213,1152,350,76,41,173,0,0
26163506700,26, Michigan,163, Wayne County,738,68,261,252,101,10,32,14,0
26163506800,26, Michigan,163, Wayne County,2920,404,1351,688,112,186,154,17,8
26163506900,26, Michigan,163, Wayne County,2080,523,841,325,121,210,60,0,0
26163507000,26, Michigan,163, Wayne County,1545,303,490,391,99,242,20,0,0
26163507100,26, Michigan,163, Wayne County,1244,150,655,282,67,61,29,0,0
26163507200,26, Michigan,163, Wayne County,837,237,397,80,42,15,34,7,25
26163507300,26, Michigan,163, Wayne County,1335,127,553,355,108,51,141,0,0
26163507400,26, Michigan,163, Wayne County,1501,245,639,346,75,104,71,21,0
26163507500,26, Michigan,163, Wayne County,1424,247,459,368,178,87,85,0,0
26163508000,26, Michigan,163, Wayne County,774,129,403,122,99,7,0,0,14
26163508100,26, Michigan,163, Wayne County,916,327,253,218,13,54,31,20,0
