PRECINCTID,Precinct_L,NAME,age_18_19,age_20_24,age_25_29,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_dem,party_rep,party_npp,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,PRECINCT_ID_x,DEM VOTE - 2020,REP VOTE - 2020,TURNOUT - 2020,PRECINCT_ID_y,DEM VOTE - 2016,REP VOTE - 2016,TURNOUT - 2016
WP-045-13380-00001,"Carmel Township, Precinct 1",0451338000001,0.012605042016806723,0.06956115779645192,0.058823529411764705,0.17973856209150327,0.18674136321195145,0.19234360410831,0.1722689075630252,0.09757236227824463,0.03034547152194211,0.47167325428194995,0.3974527887571366,0.13087395696091347,0.9472646623952686,0.03794972893050764,0.0009857072449482504,0.007392804337111878,0.006407097092163627,WP-045-13380-00001,0.361749859786876,0.6163768928771733,1783.0,0451338000001,0.3040671400903809,0.6216914138153647,1549.0
WP-045-14820-01001,"City of Charlotte, District 1, Precinct 1",0451482001001,0.01762571280456195,0.09227579056505962,0.09434940383618455,0.17884914463452567,0.17210990150336963,0.17729393468118196,0.15241057542768274,0.07620528771384137,0.038880248833592534,0.6243486499289437,0.2354334438654666,0.14021790620558977,0.9249471458773785,0.0554968287526427,0.005285412262156448,0.0047568710359408035,0.009513742071881607,WP-045-14820-01001,0.4828685258964143,0.498804780876494,1255.0,0451482001001,0.4458293384467881,0.4832214765100671,1043.0
WP-045-14820-01002,"City of Charlotte, District 1, Precinct 2",0451482001002,0.010124610591900311,0.07087227414330217,0.0911214953271028,0.17601246105919002,0.16510903426791276,0.17445482866043613,0.1588785046728972,0.1059190031152648,0.04750778816199377,0.5632022471910112,0.29353932584269665,0.14325842696629212,0.9433534743202417,0.04154078549848943,0.0,0.008308157099697885,0.006797583081570997,WP-045-14820-01002,0.4574132492113564,0.5226077812828601,951.0,0451482001002,0.4207161125319693,0.4884910485933504,782.0
WP-045-14820-02001,"City of Charlotte, District 2, Precinct 1",0451482002001,0.014383043149129448,0.0757002271006813,0.08856926570779712,0.20893262679788038,0.17865253595760788,0.16124148372445118,0.13247539742619227,0.09613928841786526,0.04390613171839516,0.5549488054607509,0.2955631399317406,0.14948805460750852,0.9441087613293051,0.045317220543806644,0.0,0.006042296072507553,0.004531722054380665,WP-045-14820-02001,0.4540682414698163,0.5153105861767279,1143.0,0451482002001,0.3890608875128999,0.5201238390092879,969.0
WP-045-14820-02002,"City of Charlotte, District 2, Precinct 2",0451482002002,0.008141112618724558,0.08887381275440977,0.11329715061058344,0.1614654002713704,0.17503392130257803,0.16960651289009498,0.1519674355495251,0.09023066485753053,0.041383989145183174,0.5738916256157636,0.2789408866995074,0.14716748768472906,0.9295967190704033,0.041695146958304855,0.002734107997265892,0.010252904989747095,0.01572112098427888,WP-045-14820-02002,0.4439967767929089,0.5294117647058824,1241.0,0451482002002,0.3874296435272045,0.5234521575984991,1066.0
WP-045-15260-00001,"Chester Township, Precinct 1",0451526000001,0.006050129645635264,0.056179775280898875,0.05358686257562662,0.1797752808988764,0.14347450302506481,0.20916162489196197,0.21607605877268798,0.09766637856525497,0.03802938634399308,0.41832669322709165,0.45657370517928286,0.1250996015936255,0.9675153643546971,0.016681299385425813,0.0,0.004389815627743635,0.01141352063213345,WP-045-15260-00001,0.2857142857142857,0.695364238410596,1057.0,0451526000001,0.2836287799791449,0.6465067778936392,959.0
WP-045-21520-00001,"Delta Charter Township, Precinct 1",0452152000001,0.00975609756097561,0.07386759581881533,0.0710801393728223,0.1372822299651568,0.17212543554006968,0.19303135888501743,0.18954703832752615,0.11010452961672473,0.04320557491289199,0.5769230769230769,0.33376792698826596,0.08930899608865711,0.8577555396711937,0.05146533238027162,0.027162258756254467,0.027877055039313797,0.035739814152966405,WP-045-21520-00001,0.5450416351249053,0.4458743376230129,1321.0,0452152000001,0.495114006514658,0.4552117263843648,1228.0
WP-045-21520-00002,"Delta Charter Township, Precinct 2",0452152000002,0.012628624883068288,0.07998129092609915,0.07764265668849392,0.18942937324602432,0.15902712815715622,0.1772684752104771,0.17913938260056128,0.09822263797942002,0.02666043030869972,0.5601389491966999,0.3221884498480243,0.11767260095527572,0.9177093358999038,0.03657362848893166,0.01203079884504331,0.021174205967276226,0.012512030798845043,WP-045-21520-00002,0.5548751766368347,0.430522845030617,2123.0,0452152000002,0.4814148681055156,0.4640287769784172,1668.0
WP-045-21520-00003,"Delta Charter Township, Precinct 3",0452152000003,0.013015184381778741,0.09833694866232827,0.13882863340563992,0.1822125813449024,0.13521330441070137,0.13593637020968907,0.13304410701373826,0.12002892263195951,0.04338394793926247,0.6639498432601881,0.19373040752351098,0.14231974921630094,0.8370319001386962,0.05062413314840499,0.059639389736477116,0.02288488210818308,0.029819694868238558,WP-045-21520-00003,0.6816143497757847,0.305829596412556,1115.0,0452152000003,0.6085594989561587,0.3382045929018789,958.0
WP-045-21520-00004,"Delta Charter Township, Precinct 4",0452152000004,0.008943543879262158,0.05813303521520403,0.06595863610955842,0.15651201788708777,0.14309670206819453,0.16992733370598098,0.1928451648965903,0.1587479038569033,0.045835662381218556,0.5651948051948052,0.33766233766233766,0.09714285714285714,0.8740022805017104,0.04846066134549601,0.026225769669327253,0.029646522234891677,0.021664766248574687,WP-045-21520-00004,0.5907473309608541,0.3873072360616844,1686.0,0452152000004,0.5187338501291989,0.4205426356589147,1548.0
WP-045-21520-00005,"Delta Charter Township, Precinct 5",0452152000005,0.011655011655011656,0.09207459207459208,0.11538461538461539,0.17657342657342656,0.14102564102564102,0.16375291375291376,0.17191142191142192,0.09498834498834499,0.03263403263403263,0.7009880395215808,0.1856474258970359,0.11336453458138325,0.7812142038946163,0.070446735395189,0.0859106529209622,0.027491408934707903,0.03493699885452463,WP-045-21520-00005,0.6840277777777778,0.3,1440.0,0452152000005,0.6222050886661527,0.3215111796453354,1297.0
WP-045-21520-00006,"Delta Charter Township, Precinct 6",0452152000006,0.01099537037037037,0.08217592592592593,0.08159722222222222,0.1712962962962963,0.14641203703703703,0.19560185185185186,0.17708333333333334,0.10185185185185185,0.03298611111111111,0.6465336134453782,0.2610294117647059,0.09243697478991597,0.8239030023094688,0.06408775981524249,0.03233256351039261,0.03233256351039261,0.04734411085450346,WP-045-21520-00006,0.6141338336460288,0.3702313946216385,1599.0,0452152000006,0.5377558221594919,0.4071983062808751,1417.0
